common_region,year,ev_scenario,ev_sales,ev_stock,ev_electricity_twh,ev_sales_cars,ev_stock_cars,ev_sales_bev,ev_sales_phev,ev_sales_fcev,ai_scenario,ai_it_electricity_twh,ai_it_capacity_gw,ai_load_factor,ai_pue,ai_electricity_twh,ai_capacity_gw,ccus_project_count,annual_ccus_capacity_tpa,annual_ccus_capacity_mtpa,cumulative_ccus_capacity_tpa,cumulative_ccus_capacity_mtpa,operating_project_count,planned_project_count,under_construction_project_count,combined_electricity_demand_twh,ev_share_of_combined_demand,ai_share_of_combined_demand,ccus_capacity_per_twh_demand,ev_ai_growth_pressure_score,ccus_buffer_score,ev_growth_rate,ai_growth_rate,demand_pressure_component,ev_growth_pressure_component,ai_growth_pressure_component,ccus_buffer_component,regional_pressure_score,pressure_class
China,2024,STEPS,19081862.0,103179720.0,103.5,11300062.0,34000820.0,14174000.0,4900000.0,7862.0,Historical,68.0,16.0,48.0,1.5,102.0,24.0,0,0.0,0.0,0.0,0.0,0,0,0,205.5,0.5036496350364964,0.49635036496350365,0.0,0.0,15.11627906976744,0.0,0.0,67.44186046511628,46.51162790697674,33.72093023255814,15.11627906976744,69.68503937007874,High Pressure
China,2030,STEPS,35908100.0,238138000.0,401.0,21225000.0,138078000.0,27580000.0,8254600.0,73500.0,Base Case,205.0,49.0,47.0,1.35,277.0,67.0,0,0.0,0.0,0.0,0.0,0,0,0,678.0,0.5914454277286135,0.4085545722713864,0.0,0.0,15.11627906976744,2.8743961352657004,0.0,90.69767441860465,95.34883720930233,33.72093023255814,15.11627906976744,100.0,Critical Pressure
Europe,2020,Historical,2794712.0,6715888.0,0.0,2560754.0,5787186.0,1630415.0,1162361.0,1936.0,Historical,36.0,8.0,51.0,1.57,57.0,13.0,13,22564000.0,22.564,40348000.0,40.348,1,6,0,57.0,0.0,1.0,707859.649122807,0.0,45.348837209302324,0.0,0.0,17.441860465116278,46.51162790697674,33.72093023255814,45.348837209302324,27.263779527559052,Medium Pressure
Europe,2020,STEPS,1516730.0,3629985.0,0.0,1380890.0,3102700.0,884500.0,631234.0,996.0,Historical,36.0,8.0,51.0,1.57,57.0,13.0,13,22564000.0,22.564,40348000.0,40.348,1,6,0,57.0,0.0,1.0,707859.649122807,0.0,45.348837209302324,0.0,0.0,17.441860465116278,46.51162790697674,33.72093023255814,45.348837209302324,27.263779527559052,Medium Pressure
Europe,2023,Historical,6225240.0,22548951.0,0.0,5667595.0,20320146.0,4434130.0,1788966.0,2144.0,Historical,45.0,10.0,49.0,1.47,66.0,15.0,24,74105000.0,74.105,158592000.0,158.592,0,23,0,66.0,0.0,1.0,2402909.090909091,0.0,73.25581395348837,0.0,0.1578947368421053,26.744186046511626,46.51162790697674,76.74418604651163,73.25581395348837,35.53149606299212,Medium Pressure
Europe,2023,STEPS,3553062.0,12511762.0,0.0,3200870.0,11205400.0,2549300.0,1002577.0,1185.0,Historical,45.0,10.0,49.0,1.47,66.0,15.0,24,74105000.0,74.105,158592000.0,158.592,0,23,0,66.0,0.0,1.0,2402909.090909091,0.0,73.25581395348837,0.0,0.0,26.744186046511626,46.51162790697674,33.72093023255814,73.25581395348837,20.964566929133856,Low Pressure
Europe,2024,Historical,6173592.0,28188272.0,0.0,5615784.0,25471640.0,4424840.0,1745020.0,3732.0,Historical,47.0,11.0,48.0,1.45,68.0,16.0,21,29261000.0,29.261,187853000.0,187.853,1,18,0,68.0,0.0,1.0,2762544.117647059,0.0,81.3953488372093,0.0,0.030303030303030276,30.23255813953488,46.51162790697674,67.44186046511628,81.3953488372093,31.003937007874015,Medium Pressure
Europe,2024,STEPS,3549201.0,15719425.0,34.08,3181100.0,14106100.0,2561600.0,985671.0,1930.0,Historical,47.0,11.0,48.0,1.45,68.0,16.0,21,29261000.0,29.261,187853000.0,187.853,1,18,0,102.08,0.3338557993730407,0.6661442006269592,1840252.7429467086,0.0,60.46511627906976,0.0,0.0,41.86046511627907,46.51162790697674,33.72093023255814,60.46511627906976,35.33464566929134,Medium Pressure
Europe,2030,STEPS,11663020.0,59905500.0,167.83,9504400.0,50032000.0,10076000.0,1560720.0,26300.0,Base Case,88.0,21.0,48.0,1.29,113.0,27.0,86,235496000.0,235.496,724914000.0,724.914,0,81,0,280.83000000000004,0.5976213367517715,0.4023786632482284,2581326.781326781,0.0,76.74418604651163,3.924589201877935,0.0,76.74418604651163,100.0,33.72093023255814,76.74418604651163,67.2244094488189,High Pressure
North America,2020,Historical,309199.0,1802291.0,0.0,297200.0,1759200.0,241977.0,66000.0,1222.0,Historical,80.0,17.0,53.0,1.39,112.0,24.0,10,30361000.0,30.361,76511000.0,76.511,5,5,0,112.0,0.0,1.0,683133.9285714285,0.0,41.86046511627907,0.0,0.0,48.837209302325576,46.51162790697674,33.72093023255814,41.86046511627907,47.342519685039356,Medium Pressure
