common_region,year,ev_scenario,ai_scenario,ev_electricity_twh,ai_electricity_twh,combined_electricity_demand_twh,ccus_capacity_per_twh_demand,ev_share_of_combined_demand,ai_share_of_combined_demand,regional_pressure_score,cluster,pca_x,pca_y
China,2030,STEPS,Base Case,401.0,277.0,678.0,0.0,0.5914454277286135,0.4085545722713864,100.0,2,-0.53978296579064,2.5125478025802397
Europe,2030,STEPS,Base Case,167.83,113.0,280.83000000000004,2581326.781326781,0.5976213367517715,0.4023786632482284,67.2244094488189,3,-2.853888625720842,0.7500896704901613
United States,2030,STEPS,Base Case,91.439,426.0,517.439,1877612.6268023865,0.1767145499276243,0.8232854500723757,76.27952755905513,0,-1.9469627719156712,-2.786617152699945
World,2030,STEPS,Base Case,781.0,946.0,1727.0,1235262.3045744065,0.45222929936305734,0.5477707006369427,89.66535433070865,1,1.514258630088416,0.08774234018654466
World,2030,STEPS,Headwinds,781.0,669.0,1450.0,1471240.0,0.5386206896551724,0.4613793103448276,67.61811023622046,1,0.6132674505055188,0.43387633225563876
World,2030,STEPS,High Efficiency,781.0,792.0,1573.0,1356197.0756516212,0.4965034965034965,0.5034965034965035,69.98031496062993,1,0.9682749474032285,0.06889659998429595
World,2030,STEPS,Lift-Off,781.0,1264.0,2045.0,1043177.5061124695,0.3819070904645477,0.6180929095354524,74.70472440944883,1,2.244833335429989,-1.0665355927969349
