project_name,country,common_region,region_group,status,sector,capture_type,transport_type,storage_type,utilization_type,start_year,announced_year,capacity_tpa,capacity_mtpa,latitude,longitude,raw_status,raw_sector,source_file,status_standardized
Grizzly DAC plant,United States,United States,North America,Planned,DAC,Full chain,,Dedicated storage,,2030,2023,1000000.0,1.0,,,Planned,DAC,IEA-CCUS-2026.xlsx,planned
Net-zero 1 (SD),United States,United States,North America,Planned,Fuel transformation,Capture,,Dedicated storage,,2026,2021,290000.0,0.29,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Bayou Bend West onshore (TX),United States,United States,North America,Planned,CO2 T&S,T&S,,Dedicated storage,,,2023,,,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
ARCaDe Antwerp Refinery,Belgium,Europe,Europe,Planned,Fuel transformation,Capture,,Dedicated storage,,2031,2024,740000.0,0.74,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
ZETA,Australia,Australia,Australia and New Zealand,Planned,Industry,CCU,,,,2027,2024,100000.0,0.1,,,Planned,Industry,IEA-CCUS-2026.xlsx,planned
Bluebell  (Roanoke Cement Company CCS),United States,United States,North America,Planned,Industry,Full Chain,,Dedicated Storage,,,2025,550000.0,0.55,,,Planned,Industry,IEA-CCUS-2026.xlsx,planned
Mississippi Lime Company (MLC) CCS,United States,United States,North America,Planned,Industry,Full Chain,,Dedicated Storage,,,2025,150000.0,0.15,,,Planned,Industry,IEA-CCUS-2026.xlsx,planned
Cypress DAC Hub (LA) - Northwest Heirloom Facility Phase 1,United States,United States,North America,Planned,DAC,Capture,,Dedicated Storage,,2028,2023,17000.0,0.017,,,Planned,DAC,IEA-CCUS-2026.xlsx,planned
Sisak biorefinery project,Croatia,Croatia,Europe,Planned,Fuel transformation,Capture,,Dedicated storage,,,2021,460000.0,0.46,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
AirvaultGoCO2 cement plant,France,Europe,Europe,Planned,Industry,Capture,,Dedicated storage,,2031,2023,1000000.0,1.0,,,Planned,Industry,IEA-CCUS-2026.xlsx,planned
Carbon Connect Delta ,Netherlands-Belgium,Netherlands-Belgium,Europe,Cancelled,CO2 T&S,Transport,,Dedicated storage,,,2020,6500000.0,6.5,,,Cancelled,CO2 T&S,IEA-CCUS-2026.xlsx,cancelled_or_suspended
Iroko carbon storage ,Norway,Europe,Europe,Planned,CO2 T&S,Storage,,Dedicated storage,,,2024,7500000.0,7.5,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
