project_name,country,common_region,region_group,status,sector,capture_type,transport_type,storage_type,utilization_type,start_year,announced_year,capacity_tpa,capacity_mtpa,latitude,longitude,raw_status,raw_sector,source_file,status_standardized
Cstore 2,Australia,Australia,Australia and New Zealand,Planned,CO2 T&S,T&S,,Dedicated storage,,,2021,7500000.0,7.5,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
CO2 Storage Kalundborg,Denmark,Europe,Europe,Planned,CO2 T&S,T&S,,Dedicated storage,,2030,2024,12000000.0,12.0,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Projekt Greenstore,Denmark,Europe,Europe,Planned,CO2 T&S,T&S,,Dedicated storage,,2030,,,,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
AffaldPlus Affaldsenergi,Denmark,Europe,Europe,Planned,Power and heat,Capture,,Dedicated storage,,2030,,150000.0,0.15,,,Planned,Power and heat,IEA-CCUS-2026.xlsx,planned
Basel-Zurich corridor,Switzerland,Switzerland,Europe,Planned,CO2 T&S,Transport,,,,,2025,,,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Highway58 (Baltic Sea CO2 backbone),Sweden-Finland,Sweden-Finland,Europe,Planned,CO2 T&S,Transport,,Dedicated storage,,2030,2026,20000000.0,20.0,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
VAPCO Vung Ang II coal-fired power plant (Ha Tinh Province),Vietnam,Vietnam,Other Asia Pacific,Planned,Power and heat,CCU,,,,,2025,160000.0,0.16,,,Planned,Power and heat,IEA-CCUS-2026.xlsx,planned
Inter terminals Sweden,Sweden,Europe,Europe,Planned,CO2 T&S,Transport,,,,,2025,,,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Sullom voe terminal and Shetland basin hub (SVT) - Magnus phase 2,United Kingdom,Europe,Europe,Planned,CO2 T&S,T&S,,Dedicated storage,,2038,2023,3000000.0,3.0,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Sullom voe terminal and Shetland basin hub (SVT) - Regional Expansion phase 3,United Kingdom,Europe,Europe,Planned,CO2 T&S,T&S,,Dedicated storage,,2040,2023,5000000.0,5.0,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
E.ON's DH Norrköping plant (Malmö),Sweden,Europe,Europe,Planned,Power and heat,Full chain,,Dedicated storage,,2032,2025,500000.0,0.5,,,Planned,Power and heat,IEA-CCUS-2026.xlsx,planned
Bio-CCS Malmö (Malmö Energihamn),Sweden,Europe,Europe,Planned,Power and heat,Full chain,,Dedicated storage,,2027,2022,450000.0,0.45,,,Planned,Power and heat,IEA-CCUS-2026.xlsx,planned
Malmö CO2 Hub,Sweden,Europe,Europe,Planned,CO2 T&S,Transport,,,,2030,2022,1300000.0,1.3,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
E.ON's DH Örebro plant (Malmö),Sweden,Europe,Europe,Planned,Power and heat,Full chain,,Dedicated storage,,2032,2025,,,,,Planned,Power and heat,IEA-CCUS-2026.xlsx,planned
SkyZero (Spillepengen),Sweden,Europe,Europe,Planned,Power and heat,Capture,,Dedicated storage,,2030,2019,400000.0,0.4,,,Planned,Power and heat,IEA-CCUS-2026.xlsx,planned
Johannes CHP plant (Gävleborg),Sweden,Europe,Europe,Planned,Power and heat,Full chain,,,,,2021,110000.0,0.11,,,Planned,Power and heat,IEA-CCUS-2026.xlsx,planned
Bio-CCS Kristinehed and Oceanen (Halmstad),Sweden,Europe,Europe,Planned,Power and heat,Capture,,,,,,170000.0,0.17,,,Planned,Power and heat,IEA-CCUS-2026.xlsx,planned
Bio-CCS Jönköping DH plant (Torsvik),Sweden,Europe,Europe,Planned,Power and heat,Capture,,,,,,270000.0,0.27,,,Planned,Power and heat,IEA-CCUS-2026.xlsx,planned
BECCS Skövde Energi,Sweden,Europe,Europe,Planned,Power and heat,Capture,,,,,2021,100000.0,0.1,,,Planned,Power and heat,IEA-CCUS-2026.xlsx,planned
CCS Bodens Energi,Sweden,Europe,Europe,Planned,Power and heat,Capture,,,,,2021,100000.0,0.1,,,Planned,Power and heat,IEA-CCUS-2026.xlsx,planned
Fieni-Botești ,Romania,Romania,Europe,Planned,CO2 T&S,Storage,,Dedicated storage,,2029,,600000.0,0.6,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
Deep Sky Thetford Mines (QC),Canada,Canada,North America,Under construction,DAC,Full chain,,Dedicated storage,,,2024,,,,,Under construction,DAC,IEA-CCUS-2026.xlsx,under_construction
