Region,Metric,Scenario,Year,Value
Central and South America,Load factor (%),Base Case,2023,48.0
Central and South America,Load factor (%),Base Case,2024,47.0
Central and South America,Load factor (%),Base Case,2030,46.0
Europe,Load factor (%),Base Case,2020,51.0
Europe,Load factor (%),Base Case,2023,49.0
Europe,Load factor (%),Base Case,2024,48.0
Europe,Load factor (%),Base Case,2030,48.0
Africa,Load factor (%),Base Case,2020,49.0
Africa,Load factor (%),Base Case,2023,46.0
Africa,Load factor (%),Base Case,2024,46.0
Africa,Load factor (%),Base Case,2030,45.0
Middle East,Load factor (%),Base Case,2020,49.0
Middle East,Load factor (%),Base Case,2023,46.0
Middle East,Load factor (%),Base Case,2024,46.0
Middle East,Load factor (%),Base Case,2030,45.0
Asia Pacific,Load factor (%),Base Case,2020,50.0
Asia Pacific,Load factor (%),Base Case,2023,48.0
Asia Pacific,Load factor (%),Base Case,2024,48.0
Asia Pacific,Load factor (%),Base Case,2030,47.0
China,Load factor (%),Base Case,2020,50.0
China,Load factor (%),Base Case,2023,48.0
China,Load factor (%),Base Case,2024,48.0
China,Load factor (%),Base Case,2030,47.0
World,Total electricity consumption (TWh),Base Case,2020,269.0
World,Total electricity consumption (TWh),Base Case,2023,361.0
World,Total electricity consumption (TWh),Base Case,2024,416.0
World,Total electricity consumption (TWh),Base Case,2030,946.0
North America,Total electricity consumption (TWh),Base Case,2020,112.0
North America,Total electricity consumption (TWh),Base Case,2023,158.0
North America,Total electricity consumption (TWh),Base Case,2024,187.0
North America,Total electricity consumption (TWh),Base Case,2030,434.0
United States,Total electricity consumption (TWh),Base Case,2020,108.0
United States,Total electricity consumption (TWh),Base Case,2023,154.0
United States,Total electricity consumption (TWh),Base Case,2024,183.0
United States,Total electricity consumption (TWh),Base Case,2030,426.0
Central and South America,Total electricity consumption (TWh),Base Case,2020,1.5
Central and South America,Total electricity consumption (TWh),Base Case,2023,1.5
Central and South America,Total electricity consumption (TWh),Base Case,2024,1.7
Central and South America,Total electricity consumption (TWh),Base Case,2030,3.3
Europe,Total electricity consumption (TWh),Base Case,2020,57.0
Europe,Total electricity consumption (TWh),Base Case,2023,66.0
Europe,Total electricity consumption (TWh),Base Case,2024,68.0
Europe,Total electricity consumption (TWh),Base Case,2030,113.0
Africa,Total electricity consumption (TWh),Base Case,2020,1.1
Africa,Total electricity consumption (TWh),Base Case,2023,1.3
Africa,Total electricity consumption (TWh),Base Case,2024,1.4
Africa,Total electricity consumption (TWh),Base Case,2030,2.9
Middle East,Total electricity consumption (TWh),Base Case,2020,1.1
Middle East,Total electricity consumption (TWh),Base Case,2023,1.3
Middle East,Total electricity consumption (TWh),Base Case,2024,1.5
Middle East,Total electricity consumption (TWh),Base Case,2030,3.0
Asia Pacific,Total electricity consumption (TWh),Base Case,2020,93.0
Asia Pacific,Total electricity consumption (TWh),Base Case,2023,128.0
Asia Pacific,Total electricity consumption (TWh),Base Case,2024,150.0
Asia Pacific,Total electricity consumption (TWh),Base Case,2030,378.0
China,Total electricity consumption (TWh),Base Case,2020,62.0
China,Total electricity consumption (TWh),Base Case,2023,84.0
China,Total electricity consumption (TWh),Base Case,2024,102.0
China,Total electricity consumption (TWh),Base Case,2030,277.0
